Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,28.412500,28.557501,28.299999,28.385000,26.620605,105677600
2016-11-01,28.365000,28.442499,27.632500,27.872499,26.139956,175303200
2016-11-02,27.850000,28.087500,27.807501,27.897499,26.163403,113326800
2016-11-03,27.745001,27.865000,27.387501,27.457500,25.882969,107730400
2016-11-04,27.132500,27.562500,27.027500,27.209999,25.649656,123348000
2016-11-07,27.520000,27.627501,27.365000,27.602501,26.019648,130240000
2016-11-08,27.577499,27.930000,27.424999,27.764999,26.172832,97016800
2016-11-09,27.469999,27.830000,27.012501,27.719999,26.130413,236705600
2016-11-10,27.772499,27.772499,26.457500,26.947500,25.402210,228538000
2016-11-11,26.780001,27.217501,26.637501,27.107500,25.553036,136575600
2016-11-14,26.927500,26.952499,26.020000,26.427500,24.912031,204702000
2016-11-15,26.642500,26.920000,26.540001,26.777500,25.241961,129058000
2016-11-16,26.674999,27.557501,26.650000,27.497499,25.920670,235362000
2016-11-17,27.452499,27.587500,27.207500,27.487499,25.911245,110528000
2016-11-18,27.430000,27.635000,27.415001,27.514999,25.937172,113715600
2016-11-21,27.530001,27.997499,27.502501,27.932501,26.330727,117058400
2016-11-22,27.987499,28.105000,27.850000,27.950001,26.347225,103862000
2016-11-23,27.840000,27.877501,27.582500,27.807501,26.212891,109705600
2016-11-25,27.782499,27.967501,27.737499,27.947500,26.344870,45903600
2016-11-28,27.857500,28.117500,27.847500,27.892500,26.293020,108776000
2016-11-29,27.695000,28.007500,27.517500,27.865000,26.267097,114115200
2016-11-30,27.900000,28.049999,27.567499,27.629999,26.045574,144649200
2016-12-01,27.592501,27.735001,27.257500,27.372499,25.802841,148347600
2016-12-02,27.292500,27.522499,27.212500,27.475000,25.899462,106112000
2016-12-05,27.500000,27.507500,27.062500,27.277500,25.713287,137298000
2016-12-06,27.375000,27.590000,27.297501,27.487499,25.911245,104782000
2016-12-07,27.315001,27.797501,27.290001,27.757500,26.165762,119994800
2016-12-08,27.715000,28.107500,27.650000,28.030001,26.422638,108273200
2016-12-09,28.077499,28.674999,28.077499,28.487499,26.853903,137610400
2016-12-12,28.322500,28.750000,28.122499,28.325001,26.700718,105497600
2016-12-13,28.459999,28.980000,28.437500,28.797501,27.146124,174935200
2016-12-14,28.760000,29.049999,28.745001,28.797501,27.146124,136127200
2016-12-15,28.844999,29.182501,28.807501,28.955000,27.294590,186098000
2016-12-16,29.117500,29.125000,28.912500,28.992500,27.329945,177404400
2016-12-19,28.950001,29.344999,28.937500,29.160000,27.487839,111117600
2016-12-20,29.184999,29.375000,29.170000,29.237499,27.560894,85700000
2016-12-21,29.200001,29.350000,29.195000,29.264999,27.586819,95132800
