Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,152.759995,154.330002,152.759995,153.690002,122.709366,3553200
2016-11-01,153.500000,153.910004,151.740005,152.789993,121.990791,3191900
2016-11-02,152.479996,153.350006,151.669998,151.949997,121.320137,3074400
2016-11-03,152.509995,153.740005,151.800003,152.369995,121.655464,2878800
2016-11-04,152.399994,153.639999,151.869995,152.429993,121.703377,2470400
2016-11-07,153.990005,156.110001,153.839996,155.720001,124.330154,3804900
2016-11-08,154.559998,155.929993,153.059998,155.169998,125.014977,3921900
2016-11-09,152.960007,155.559998,151.000000,154.809998,124.724937,5403700
2016-11-10,157.660004,161.160004,157.589996,160.220001,129.083618,7715800
2016-11-11,159.970001,161.339996,159.330002,161.270004,129.929535,4446600
2016-11-14,161.250000,161.860001,157.580002,158.210007,127.464218,5196500
2016-11-15,158.419998,159.149994,157.550003,158.669998,127.834831,3477000
2016-11-16,158.460007,159.550003,158.029999,159.289993,128.334335,2252800
2016-11-17,159.220001,159.929993,158.850006,159.800003,128.745209,2261200
2016-11-18,159.800003,160.720001,159.210007,160.389999,129.220581,2981600
2016-11-21,160.690002,163.000000,160.369995,162.770004,131.138062,4637100
2016-11-22,163.000000,163.000000,161.949997,162.669998,131.057465,2770800
2016-11-23,161.940002,162.380005,161.360001,161.979996,130.501541,2252700
2016-11-25,161.830002,163.190002,161.830002,163.139999,131.436142,1605300
2016-11-28,163.199997,164.660004,162.699997,164.520004,132.547958,4449400
2016-11-29,164.000000,164.410004,163.029999,163.529999,131.750351,3148200
2016-11-30,163.350006,163.800003,162.210007,162.220001,130.694901,4397800
2016-12-01,161.949997,162.199997,158.300003,159.820007,128.761353,4635700
2016-12-02,159.000000,160.289993,158.410004,160.020004,128.922470,2740900
2016-12-05,160.850006,161.149994,159.589996,159.839996,128.777420,3447100
2016-12-06,160.130005,160.789993,158.929993,160.350006,129.188354,2859000
2016-12-07,160.600006,165.179993,160.389999,164.789993,132.765442,4435100
2016-12-08,164.869995,166.000000,164.220001,165.360001,133.224701,3266400
2016-12-09,165.179993,166.720001,164.600006,166.520004,134.159317,3146900
2016-12-12,166.720001,166.789993,165.070007,165.500000,133.337524,3392300
2016-12-13,165.679993,169.949997,165.679993,168.289993,135.585327,5932300
2016-12-14,168.369995,169.889999,167.449997,168.509995,135.762558,4124200
2016-12-15,168.009995,169.850006,167.779999,168.020004,135.367783,3388600
2016-12-16,168.970001,169.110001,166.059998,166.729996,134.328476,7120600
2016-12-19,166.830002,167.259995,166.000000,166.679993,134.288177,2955900
2016-12-20,167.490005,168.250000,166.449997,167.600006,135.029404,2174600
2016-12-21,166.250000,167.940002,165.250000,167.330002,134.811874,3575700
2016-12-22,167.360001,168.229996,166.580002,167.059998,134.594330,2802600
2016-12-23,167.000000,167.490005,166.449997,166.710007,134.312347,1701200
2016-12-27,166.979996,167.979996,166.850006,167.139999,134.658768,1397500
2016-12-28,167.289993,167.740005,166.000000,166.190002,133.893402,1757500
2016-12-29,166.020004,166.990005,166.000000,166.600006,134.223755,1663500
2016-12-30,166.440002,166.699997,165.500000,165.990005,133.732300,2952800
2017-01-03,167.000000,167.869995,166.009995,167.190002,134.699097,2934300
2017-01-04,167.770004,169.869995,167.360001,169.259995,136.366791,3381400
